account position pnl
noise-10 153 1367.79
noise-10 174 1430.52
noise-10 195 1501.86
noise-6 -20 344.06
noise-5 -256 -143.43
noise-5 -224 -143.43
noise-5 -192 -143.43
noise-5 -184 -143.43
noise-9 356 2514.73
noise-1 120 33.57
noise-4 -561 -122.78
mm 8 -304.59
mm -21 -298.19
mm -50 -306.59
mm -79 -326.59
noise-5 -155 173.05
noise-5 -126 111.05
noise-5 -97 60.65
noise-2 172 664.74
noise-5 -9 -170.21
noise-5 15 -170.21
noise-3 -233 -1818.69
noise-1 110 50.37
noise-5 25 -170.21
noise-1 84 -571.13
noise-8 -22 -497.21
noise-9 284 1767.13
noise-8 50 -572.23
noise-10 203 1283.46
noise-7 -24 178.09
noise-6 -40 310.26
noise-10 223 1283.46
mm -100 -76.95
mm -121 -115.95
mm -142 -163.14
noise-1 105 -561.89
noise-1 126 -520.94
noise-1 147 -471.80
mm -156 -964.02
mm -170 -1029.54
noise-6 -26 221.06
noise-6 -12 210.14
noise-4 -569 -3303.65
noise-6 -4 205.46
noise-6 16 205.46
noise-3 -253 -2212.46
noise-6 79 205.46
noise-10 160 1961.38
noise-6 87 205.46
noise-7 -32 105.13
noise-9 224 2883.25
noise-6 147 205.46
noise-2 218 706.02
noise-8 4 -448.23
noise-2 291 706.02
noise-5 -48 -164.21
noise-9 176 2513.65
mm -122 -815.34
noise-8 -32 -449.03
mm -86 -815.34
mm -47 -815.34
noise-1 108 233.80
mm 8 -815.34
noise-6 92 -37.09
mm 68 -819.42
noise-5 -108 -130.13
mm 116 -819.42
noise-10 112 1615.78
noise-2 196 499.41
mm 211 -819.42
mm 215 -819.42
noise-4 -573 -2074.61
mm 186 -619.47
mm 169 -541.35
mm 152 -470.37
noise-3 -224 -1901.27
noise-3 -207 -1995.35
noise-3 -190 -2082.29
noise-7 -36 104.49
noise-3 -186 -2160.19
mm 108 -611.73
mm 64 -566.37
mm 20 -539.49
noise-9 220 2571.73
noise-9 264 2664.13
noise-9 308 2775.01
noise-2 128 944.33
noise-2 120 916.17
noise-9 376 2956.73
mm 28 -532.09
noise-4 -569 -3713.39
noise-7 -40 80.01
noise-4 -537 -3713.39
noise-1 76 487.60
noise-8 -64 -524.23
noise-4 -505 -3713.39
noise-6 48 179.11
noise-4 -461 -3713.39
noise-4 -430 -3713.39
noise-4 -382 -3713.39
noise-3 -217 -2286.67
noise-5 -156 -439.01
noise-4 -347 -3713.39
noise-10 77 1936.10
mm 68 -532.09
noise-4 -397 -3432.32
mm 118 -532.09
noise-5 -196 -312.65
noise-2 60 916.17
mm 151 -532.09
mm 211 -532.09
noise-10 44 1873.73
mm 235 -532.09
noise-3 -241 -2110.90
mm 259 -532.09
noise-8 -88 -472.39
noise-9 300 2543.13
noise-7 -44 147.61
mm 295 -760.01
mm 371 -760.01
mm 375 -760.01
mm 309 -437.51
mm 243 -304.64
mm 177 -200.15
noise-1 142 424.52
noise-1 208 485.58
noise-1 274 575.02
noise-6 12 97.99
noise-9 240 2543.13
mm 237 -504.59
mm 269 -504.59
noise-5 -228 -140.17
mm 289 -504.59
noise-8 -108 -394.95
mm 355 -504.59
noise-1 208 103.74
mm 375 -504.59
noise-3 -261 -1898.82
noise-2 12 863.37
mm 423 -504.59
mm 451 -1892.03
noise-6 -16 58.63
mm 455 -1892.03
noise-7 -48 291.93
mm 381 -1186.78
noise-4 -323 -2396.15
noise-4 -249 -2528.58
noise-4 -206 -2630.67
mm 307 -1030.57
mm 264 -904.70
mm 209 -1121.18
noise-4 -151 -2461.75
noise-4 -96 -2523.66
mm 154 -1035.49
noise-4 -80 -2637.90
noise-8 -124 -380.91
noise-6 -40 -36.89
noise-5 -204 -753.49
noise-9 192 3188.73
noise-5 -156 -753.49
noise-3 -277 -2600.91
noise-5 -140 -753.49
noise-1 156 663.26
noise-5 -88 -753.49
noise-10 20 1953.37
noise-5 -64 -753.49
noise-2 -28 895.65
noise-5 -24 -753.49
mm 198 -969.27
noise-1 112 104.78
mm 238 -969.27
noise-9 152 2501.37
noise-2 -60 995.89
mm 270 -969.27
mm 282 -969.27
noise-8 -136 -286.67
mm 302 -969.27
noise-10 0 1881.77
mm 318 -969.27
noise-6 -56 106.31
noise-4 -20 -2384.30
mm 258 -1735.65
mm 198 -1629.87
noise-4 40 -2392.50
mm 138 -1548.69
noise-7 12 253.53
noise-3 -213 -2553.82
noise-5 -88 -749.41
noise-2 -84 950.29
noise-4 -89 -2143.70
noise-9 194 2747.61
noise-9 236 2831.03
noise-9 278 2932.51
noise-9 310 3232.75
noise-9 326 3232.75
noise-9 350 3232.75
noise-8 -144 -860.59
noise-7 49 320.61
noise-7 178 331.39
noise-7 186 331.39
mm 190 -1224.39
mm 214 -1224.39
mm 172 -1040.35
mm 130 -966.39
mm 88 -910.49
mm 51 -776.73
mm 67 -941.97
noise-3 -237 -2585.77
noise-10 -16 1881.77
noise-6 -72 63.75
noise-1 80 503.50
noise-5 -140 -516.21
noise-3 -257 -1922.17
noise-8 -152 -362.35
noise-5 -180 -516.21
noise-2 -104 950.29
noise-6 -84 63.75
noise-7 136 -317.75
mm 87 -941.97
mm 95 -941.97
mm 165 -941.97
mm 205 -941.97
mm 225 -941.97
mm 237 -941.97
mm 287 -949.08
noise-4 -189 -1833.09
noise-9 280 2252.75
mm 282 -702.26
mm 277 -581.00
mm 272 -461.89
mm 372 -929.73
mm 400 -929.73
noise-10 -11 1913.29
noise-10 -6 1908.56
noise-10 -1 1905.98
noise-1 52 277.10
mm 415 -929.73
noise-10 -16 1907.70
mm 495 -929.73
noise-4 -269 -1833.09
noise-9 224 2244.35
noise-5 -212 97.59
mm 551 -929.73
mm 583 -2792.11
mm 499 -576.71
mm 415 -367.13
noise-8 -160 -198.19
noise-1 93 342.62
noise-3 -249 -1644.61
noise-3 -165 -2010.64
noise-3 -81 -2079.94
noise-3 -38 -2113.96
mm 372 -192.83
mm 331 -192.83
noise-2 -64 696.53
noise-7 96 18.17
noise-6 -92 30.15
noise-10 -8 1900.82
noise-2 -88 599.25
noise-4 -207 -2890.26
noise-9 228 3138.11
noise-8 -164 -1004.59
noise-7 64 164.09
mm 269 690.94
mm 276 -196.76
mm 283 -315.44
mm 290 -437.13
noise-3 -97 -2217.70
noise-1 86 284.03
noise-1 79 247.05
noise-1 72 213.08
noise-5 -240 -1464.85
noise-9 252 3138.11
noise-9 311 3138.11
noise-9 339 3138.11
noise-9 371 3138.11
noise-1 130 107.24
noise-4 -285 -1470.24
noise-2 -80 602.77
noise-6 -100 -293.69
noise-8 -168 -998.03
noise-9 296 3123.27
noise-10 -24 1872.66
noise-7 40 -107.27
noise-3 -123 -2219.64
noise-3 -145 -1366.02
noise-1 188 160.54
noise-1 246 237.62
noise-1 272 1440.56
noise-5 -190 -0.85
noise-5 -140 -78.75
noise-5 -90 -136.15
noise-5 -66 -229.75
noise-2 -76 602.77
noise-2 -1 602.77
noise-2 15 602.77
mm 232 -863.43
mm 174 -768.31
mm 116 -696.97
mm 138 -934.77
mm 216 -934.77
mm 166 -757.65
mm 116 -689.59
mm 66 -642.03
noise-10 -36 1941.30
mm 72 -750.27
noise-3 -175 -1948.92
noise-3 -181 -1245.42
noise-5 -54 -318.19
noise-5 -24 -318.19
mm 37 -429.87
mm 2 -413.96
mm -33 -413.10
noise-7 75 -36.47
noise-7 110 -4.22
noise-7 145 43.08
noise-1 208 1345.36
noise-7 209 228.68
noise-9 300 3132.15
noise-8 -172 -1003.07
noise-9 364 3132.15
noise-4 -349 -3439.59
noise-9 368 3132.15
noise-6 -104 -296.69
noise-2 19 596.77
noise-2 23 596.77
noise-2 71 596.77
noise-2 123 596.77
noise-2 155 596.77
noise-2 208 596.77
noise-4 -397 -3289.52
noise-9 315 2973.91
noise-9 292 2243.11
noise-8 -176 -929.11
noise-7 156 -279.19
mm -10 -375.15
mm 43 -375.15
mm 107 -375.15
mm 115 -375.15
noise-3 -213 -2418.30
noise-10 -44 1936.26
noise-6 -108 -251.97
noise-1 156 1322.48
noise-5 -88 -321.55
noise-2 128 -821.79
noise-4 -437 -581.98
noise-9 300 1308.71
noise-9 344 1725.71
noise-9 396 1815.15
noise-9 436 2599.23
noise-9 466 2786.71
noise-7 112 -561.55
mm 195 -892.65
mm 235 -892.65
mm 195 265.90
mm 165 349.75
mm 155 349.75
mm 115 416.40
noise-3 -203 -2107.32
noise-3 -163 -2194.61
noise-10 -52 2077.06
noise-6 -64 -323.25
noise-1 112 1425.44
noise-5 -140 -185.15
noise-7 80 -862.83
noise-5 -93 170.45
